id,review,address,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,keyword
670440,We went on a Sunday afternoon and it was very very crowded. Read so many great reviews about this place so we were expecting hot fragrant green tea and yummy green tea cakes. We were really disappointed. We paid 9000won for a tea and cake set the cake was ok but the tea green tasted like plain water with two tiny leaves floating around...,제주 서귀포시 안덕면 신화역사로 15 오설록,제주 서귀포시 안덕면 신화역사로 15 오설록,133793,-20885,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 안덕면 신화역사로 15,제주특별자치도 서귀포시 안덕면 서광리 1235-1,63521,5013031000,안덕면,5013031027,안덕면 서광리,water
1960011,We went in Jun and there were hardly any flowers. Mainly statues. Nothing much in the cave. Just like a normal park with a small man-made waterfall. Entrance fees not cheap  too. Don't waste your time !,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,185156,-12515,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,제주특별자치도 서귀포시 성산읍 삼달리 1010,63635,5013025900,성산읍,5013025928,성산읍 삼달리,water
300229,We went here to see the waterfall. The stones were very slippery but otherwise it was okey. The easiest way to get here is by taxi I think.,제주 서귀포시 칠십리로214번길 37,제주 서귀포시 칠십리로214번길 37,160134,-27832,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 칠십리로214번길 37,제주특별자치도 서귀포시 동홍동 278,63599,5013051000,송산동,5013010500,동홍동,water
1750010,We walked from our hotel located at the Arang Joeul Street to the Saeyeongyo bridge for almost 30 minutes. There were many locals visited and walking leisurely there. There many restaurants and the Seogwipo Submarine was located on the way there. You can see the beautiful ocean wave along the way to the bridge. The bridge connected to the Saesom island. The island was brighted by light and old korean song music at night. We visited the bridge twice in the evening to see the colourful light and daytime to observe the surrounding scenery. The trail to Cheonjiyeon waterfall can be found? on the way to the Saesom bridge. The entrance to the waterfall was after Chilsimnigyo bridge.,제주특별자치도 서귀포시 서홍동 707-4,제주특별자치도 서귀포시 서홍동 707-4,158810,-28516,정좌표,5.01E+18,구주소,,제주특별자치도 서귀포시 서홍동 707-4,63594,5013058000,서홍동,5013010600,서홍동,water
240145,We walked down to the water for a better view.  Parts of the trek were without steps or handrails and are not for the weak or unsteady.  Saw several women with heels fall when attempting to traverse the rocks.  The best part was the old women divers selling their fresh seafood!,제주 제주시 용두암길 15,제주 제주시 용두암길 15,154558,2169,정좌표,5.01E+18,새주소,제주특별자치도 제주시 용두암길 15,제주특별자치도 제주시 용담이동 483,63152,5011058000,용담2동,5011010900,용담이동,water
300029,We visited with our 4 kids and it was a hit with them.  Pretty waterfall and you are able to get pretty close to it with the mist from the waterfall hitting you.  A couple of our kids crossed the river and played on the rocks on the other side.  Was worth the visit.,제주 서귀포시 칠십리로214번길 37,제주 서귀포시 칠십리로214번길 37,160134,-27832,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 칠십리로214번길 37,제주특별자치도 서귀포시 동홍동 278,63599,5013051000,송산동,5013010500,동홍동,water
60537,We visited the Manjanggul Cave on a very wet day.  The floor of the cave was wet and the stones slippery. Puddles of water lined the route. It would have been all right if the light was brighter but it was not. The lighting was dim and you can easily twist an ankle if you stepped into one of the many crevasses in the floor. The dim lighting did not make things any easier and you really have to watch where you are going. Wear proper walking shoes if you do not want to slip on the stones. I felt that the lava cone that was our destination was quite dazzling but I wish the authorities had spent a little more care in making the whole walk safer for those who are mobile but who are a little unsteady on their feet like the elderly. The video presentation that we saw after the walk was good. The exhibits were well curated and gave us an idea of other earth formations resulting from volcanic activity in the area.,제주특별자치도 제주시 구좌읍 만장굴길 182,제주특별자치도 제주시 구좌읍 만장굴길 182,178604,3574,정좌표,5.01E+18,새주소,제주특별자치도 제주시 구좌읍 만장굴길 182,제주특별자치도 제주시 구좌읍 월정리 산 41-5,63348,5011025600,구좌읍,5011025626,구좌읍 월정리,water
210012,We visited here in December and the water was cold.  We enjoyed the beauty of the sea while drinking coffee in the nearby cafe's roof top terrace.,제주 제주시 구좌읍 월정리 33-3,제주 제주시 구좌읍 월정리 33-3,181224,6527,정좌표,5.01E+18,구주소,,제주특별자치도 제주시 구좌읍 월정리 33-3,63358,5011025600,구좌읍,5011025626,구좌읍 월정리,water
70111,We visited at the beginning of May and it was cold. It also rained when we were on the beach. So could not enjoy the water.However beach is very nice and clean. We had coffee in the coffee shop on beach which gives you nice view of the beach.Its just opposite Hallim park so can be combined.Would nice to spend a warm and sunny day on this beach.,제주 제주시 한림읍 협재리 2497-1,제주 제주시 한림읍 협재리 2497-1,129120,-11269,정좌표,5.01E+18,구주소,,제주특별자치도 제주시 한림읍 협재리 2497-1,63011,5011025000,한림읍,5011025031,한림읍 협재리,water
220022,We tried putting our water bottle down to see if the bottle roll up downhill.. errmmmm... Yeahhh.. not disappointed anyway,제주 제주시 노형동 291-17,제주 제주시 노형동 291-17,152310,-5019,정좌표,5.01E+18,구주소,,제주특별자치도 제주시 노형동 291-17,NULL,5011066000,노형동,5011012200,노형동,water
80023,We took one walk here. Vertical rise of about 200m through nature. A couple of hours of hiking & stopping to view the plants & birds. Great view of the crater from the top. Worth the trek. Carry lots of water if it hot!,제주 제주시 1100로 2070-61,제주 제주시 1100로 2070-61,152889,-11443,정좌표,5.01E+18,새주소,제주특별자치도 제주시 1100로 2070-61,제주특별자치도 제주시 해안동 산 220-13,63077,5011065000,연동,5011013900,해안동,water
410035,We stumbled upon this place whilst walking about but didn't regret it.I would be careful if you are accompanying very young children or old people as the stairs are made of rock and quite difficult to negotiate. Our 5 year old made it ok but required assistance.A nice place to visit but not much in the way of a waterfall when we were there. Perhaps they take the water in during the day? (that was a joke by the way!),제주 서귀포시 천지동 667-7,제주 서귀포시 천지동 667-7,158899,-27840,인근좌표,50130,구주소,,제주특별자치도 서귀포시 천지동 667-7,NULL,5013054000,천지동,,,water
210024,We stopped by Wolijeongri Beach for about 30 min. on the way to UDO; the water was very clear.  There were kids playing sand on the beach. The view was peaceful. We enjoyed our short walk along the beach. You can get some snacks and a good coffee from a caf챕 or a convenient store nearby. There is a restroom facility too.,제주 제주시 구좌읍 월정리 33-3,제주 제주시 구좌읍 월정리 33-3,181224,6527,정좌표,5.01E+18,구주소,,제주특별자치도 제주시 구좌읍 월정리 33-3,63358,5011025600,구좌읍,5011025626,구좌읍 월정리,water
50078,we stayed at Black sands area and walked by Oll trail 18-19 to this beach. beach looks nice although water is cold and of course could not enjoy it fully. lots of restaurants around obviously overpriced for coming tourists.,제주 제주시 조천읍 조함해안로 525,제주 제주시 조천읍 조함해안로 525,169283,5192,정좌표,5.01E+18,새주소,제주특별자치도 제주시 조천읍 조함해안로 525,제주특별자치도 제주시 조천읍 함덕리 1004-10,63333,5011025900,조천읍,5011025924,조천읍 함덕리,water
850008,We read some blogs that showed amazing blue-green water kayaks and paddleboards and lots of places to jump in and swim.  When we got there we found some pretty views (including a pretty violent whirlpool that formed in the river as the tide came in) but ZERO activities. So it was a bit disappointing on that level.....but still a pretty place for a stroll and lots of cafes/shops/trinket-sellers around.,제주 서귀포시 쇠소깍로 104,제주 서귀포시 쇠소깍로 104,164737,-26796,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 쇠소깍로 104,제주특별자치도 서귀포시 하효동 990-1,63600,5013055000,효돈동,5013010800,하효동,water
1000092,We passed by just to get to Jeongbang waterfall. Nothing special but it is free entry. So no harm taking a walk and snapping some photos overlooking the sea.,제주 서귀포시 이어도로 293-28,제주 서귀포시 이어도로 293-28,148606,-27671,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 이어도로 293-28,제주특별자치도 서귀포시 대포동 1161,63543,5013061000,중문동,5013011400,대포동,water
50117,We only spent 4 nights in Jeju and happened to pass by this place on our way to the city center. We decided to spend half a day soaking up the sun. These 5 hours were a highlight! The town was pretty quiet and the beach wasn't too crowded. Beautiful views! There was a nice restaurant on the water to get snacks. Water was refreshing! Note: I noticed a camp ground on the far right side of the beach. Cool idea for the future. BE AWARE there are very large spiders over near that boardwalk. Yikes!,제주 제주시 조천읍 조함해안로 525,제주 제주시 조천읍 조함해안로 525,169283,5192,정좌표,5.01E+18,새주소,제주특별자치도 제주시 조천읍 조함해안로 525,제주특별자치도 제주시 조천읍 함덕리 1004-10,63333,5011025900,조천읍,5011025924,조천읍 함덕리,water
300202,We need to pay for the entrance fees but it is not that pricey and worth it. You need to take a few stairs to finally reached the waterfall area. The view is very sceneric and worth to take a picture on every angle of it. A must visit place when you are at Jeju Island.,제주 서귀포시 칠십리로214번길 37,제주 서귀포시 칠십리로214번길 37,160134,-27832,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 칠십리로214번길 37,제주특별자치도 서귀포시 동홍동 278,63599,5013051000,송산동,5013010500,동홍동,water
220078,We manage to visit this Mysterious Road while on our way going to Hallasan but we are unable to try the road on our own. The road is really mysterious but the length of the road is not that long. We just try the road by using a mineral bootleg water and it is really awesome. You can try Visit it if you are curious about the road.,제주 제주시 노형동 291-17,제주 제주시 노형동 291-17,152310,-5019,정좌표,5.01E+18,구주소,,제주특별자치도 제주시 노형동 291-17,NULL,5011066000,노형동,5011012200,노형동,water
80407,We hiked the mountain a bit late but still was very interesting. There are many trails to hike just make sure to be back to the bus station before 5:30. We missed throats bus and a Korean guy who works there showed his hospitality. He took me and 4 others to the next station and civilization ( 30 Klm away). Be light when hiking you will get some portable water and a shelter to get God about 3 Klm from the beginning. It was a very nice experience It an be very foggy,제주 제주시 1100로 2070-61,제주 제주시 1100로 2070-61,152889,-11443,정좌표,5.01E+18,새주소,제주특별자치도 제주시 1100로 2070-61,제주특별자치도 제주시 해안동 산 220-13,63077,5011065000,연동,5011013900,해안동,water
1040029,We hiked down to Jungmun Beach from the Lotto Resort and had a  great time.  The schlep was a little strenuous for a 70 year old especially on the way up.  We went pretty early in the morning on a grey and rainy day at the end of June.  There we no crowds but the water was rough and dangerous for swimming.  This made the whole scene romantic and enjoyable.  The trip was worth the effort but how worth it for you will depend on the weather and the crowds. We walked the beach as part of Olle Trail #8.  We got lost a couple of times.,제주 서귀포시 색달동 3039,제주 서귀포시 색달동 3039,144623,-27466,정좌표,5.01E+18,구주소,제주특별자치도 서귀포시 중문관광로72번길 75,제주특별자치도 서귀포시 색달동 3039,63535,5013062000,예래동,5013011900,색달동,water
850022,We got here by bus the bus stop is about 20 minutes walk away which was amazing walking all the way up he stream area in the countryside and plenty of opportunities for photos. Very peaceful place there was a few tourists mainly Korean tourists. The water is amazing if your ok walking on some stones etc then give it a go otherwise clogs would be great cause the water feels amazing. But be careful if going in the water as me and my partner walked in quite far when we noticed there was broken glass at the bottom so we tried to walk round it but was a little concerned in case anyone gets cut. This is a beautiful and peaceful place to visit I would recommend staying here a while and just enjoying yourself without rushing.,제주 서귀포시 쇠소깍로 104,제주 서귀포시 쇠소깍로 104,164737,-26796,정좌표,5.01E+18,새주소,제주특별자치도 서귀포시 쇠소깍로 104,제주특별자치도 서귀포시 하효동 990-1,63600,5013055000,효돈동,5013010800,하효동,water
10371,We got an ATV (40000KRW for 2 hours) and rode around the island. It was really fun and you get to explore the whole island. There are small little cafes where you can just park your ATV and pop in for a coffee and a cake. The water is amazingly clear and blue.,제주특별자치도 제주시 우도면 우도로 156-11,제주특별자치도 제주시 우도면 우도로 156-11,195797,1054,정좌표,5.01E+18,새주소,제주특별자치도 제주시 우도면 우도로 156-11,제주특별자치도 제주시 우도면 연평리 1442,63365,5011033000,우도면,5011033021,우도면 연평리,water
140040,We got a local bus to this park. When we went there it was quite windy so take a sweater.The park is very large with lots of stones to see. There is no cafe so take water or food. It is really worth the visit.,제주 제주시 조천읍 남조로 2023,제주 제주시 조천읍 남조로 2023,168480,-5674,정좌표,5.01E+18,새주소,제주특별자치도 제주시 조천읍 남조로 2023,제주특별자치도 제주시 조천읍 교래리 산 95,63345,5011025900,조천읍,5011025929,조천읍 교래리,water
