ID,Review,address
1810032,Amazing glasses  many shapes from grass  flower  horse train  many things. O cisit with group tour in daylight and i like it. I wonder it must be more beautiful when at night  seing the pics from other member,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810033,A place full of Glass art~ Many things is made of glass even the flowers and grass.Unless you are a Glass lover else Can give it a miss?,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810034,I'm traveling with a tour group and I think we stopped by this place because it's close to the O'sulloc Tea Museum. I'm not a fan of glass art and I feel that the glass art shown here were not that amazing.Another thing is that there's a lot of outdoor exhibition  so it is not a good place to visit if it's raining.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810035,the Glass museum was very nice.We were amazed how they showed us the process of making a glass bottle.We have bought souvenirs from there..,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810036,Nice walk to the falls  but cost 2.00 per person to walk down to the falls. Very crowded with tourist. The actual walk to the falls was nicer than the actual falls itself. A nice stop if you're in the area  but not worth the drive just to see the falls.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810037,The last time when i was visiting the glass museum was in the night time and this time round was in the day timeI have see the difference between the day and night and i personally like the night time as all the light are lighted up and it is so beautiful and romantic.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810038,Must try the toilets   you will love it ! Go in the midday and hopefully there is some sun to shine thru the glass   it can create all kinds of colour.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810039,The brochure states that is a glass castle. This is definitely not a glass castle but a fun museum  so if you have kids and they are expecting to see a Cinderella kind of environment  well  this is not .What you find though it's the explanation on how glass in made and transformed in different shapes (entrance) to different kind of finished product. If you want  you can also have a go (helped by professionals)!It's a good  small scale museum and it's quite entertaining and educational. A mention of honor goes to the ticket guy at the entrance. On our way out we asked him to help us out to get a taxi. He was the sweetest and hard-core-customer orientated guy I saw in action in Jeju (and  I must admit they are all very good). He tried to get a taxi for us  getting the price  helping us (mind you  his English was limited  so he struggled a lot but nonetheless worked hard to explain us everything he could) and even giving us for free a cold bottle of water whilst waiting outside (for the taxi). You could see he was really trying his best and I hope someone from the Museum will read this feed-back and rewarding him.One thing I would avoid is the Coffee Shop inside the museum. You will find a girl with a grudge (promise you...the whole time)  doing nothing but playing with her mobile and almost being upset by you interrupting her during her game. I think this is the only person in Jeju I have found soooooooo..... unhappy and customer unfriendly? Maybe the ticket guy could teach her?Another note: you can get a 30% reduction ticket for the submarine a few kilometers away.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810040,The museum had some very nice glass art pieces  even with a flower garden made entirely of glass. Nice and fun place for the young and old. However the maintenance of the place could be better and some areas looked a little under-maintained.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810041,This was the best of all my adventures! It was bright  beautiful  colorful and full of lots of energy! I can go back and take family...,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810042,Plenty of interesting glass installations in the park and museum. Really worth to see. Very nice and friendly owner. Many beautiful things and funny toys in the shop. The best way to get there is by taxi  it's about $15 from Seogwipo city center.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810043,What is offered at the Glass Museum does not justify its 9 000 won entrance fee.There is a garden with glass flowers  glass birds  and other ornaments. The displays are dull and although they probably took a lot of time and effort to make  the whole place seems like something that would have been more interesting 15 years ago.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810044,We had a lovely time here checking out all the lovely glass items on display. Indeed very creative. For someone who love photo taking  this is indeed a must visit place in Jeju,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810045,"Visited the Glass Museum and I enjoyed every minute of it! It was fascinating to see how different coloured glass of different shapes and sizes were used to form different pieces of art. They ranged from different type of flowers  to a maze  to a ""tunnel"" and many other forms of objects!This is certainly a place for the family as well if you're visiting and I'm sure everyone will have loads of fun!",Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1810046,Be careful what you do. Just kidding  fret not for breaking anything. The biggest chance of you breaking anything here would be in the souvenir shop. A beautiful museum to go to  to see everything created out of glass pieces. How a simple  yet breakable piece of glass can turn into an artpiece which seems as strong as the pillars of a temple.I like the glass tulips best  a great number of them around this museum. It really shows Korea being a Tulip country  as I get to see these lovely  brightly coloured flowers everywhere. There's a little cafe in there which I thought was a very beautiful cafe  made out of glass. The table you use  the chairs you sit are all made out of glass  added with colour.Surprisingly  the thing you should be checking out is the stand alone toilets  one for female  the other for male. Yes  it's made of glass and from the inside  you can actually see through to the outside! Don't worry  your privacy is intact while answering nature's call  because it's tainted black from the outside and people cannot actually see anything inside! So don't be surprised to see people taking a look at their reflections and doing funny poses while you are doing your business in the toilet. Have a good laugh instead!,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Áß»ê°£¼­·Î 1403
1820001,we went to this lovely park with our children and we ride the horses for a 15 minutes enjoying the spectacular views. I recommend it for a visit.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Ç¥¼±¸é ³ì»ê·Î 381-15
1820002,"I enjoyed the show very much. The young performers are skillful and must put a lot of effort for the show. It is totally beyond expectation. However  the horse riding experience was not worth to try. The staff was not friendly and official photo-taking costs too much. If it is not the first time to experience horse-riding  I would tell you ""don't"".",Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Ç¥¼±¸é ³ì»ê·Î 381-15
1820003,No one else but us.If you can stand the smell and you live animals  then you will enjoy this place.Visited in Summer of 2015,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Ç¥¼±¸é ³ì»ê·Î 381-15
1820004,This is my fisrt experience to ridding horse. It was amazing memory to me. I feel like ridding the cloud. And now i know horse is not dangerous animail.They are so lovely. That's why i would like to raise horse in my home. lol.I heard that Korean proverb show that Jeju Island is an good place for raising horses from jeju people.And local people said that original jeju horses are smaller than others. I don't know why.Give it a try and you guys must love it  if you are not scared about horses.The fee is quite expensive.,Á¦ÁÖÆ¯º°ÀÚÄ¡µµ ¼­±ÍÆ÷½Ã Ç¥¼±¸é ³ì»ê·Î 381-15
